ナンチャラアイドルのナンチャラジオ
はい始まりましたナンチャラアイドルのナンチャラジオ
自己紹介をします
ナンチャラアイドル青色担当埼玉健康女子大生青春ことあおちゃんですわー
ナンチャラアイドルカエロ担当69人の妹みせまみですまみちゃんです
まみちゃんですまみちゃんですまみちゃんですまみちゃんですまみちゃんでくださいって言うとしなさい
やべけど
というわけで今日はスタジオに入ってますね
なんかさあなんかさあ結構さあのー
あのー定期的に練習しようって前話してたんだけどさ
最近なんか忙しくてるのもあるんだけどさ
あのーたぶんねジャムがなくなったからと思うよ
いやじゃなくてここあの今いるスタジオでもさあ週日課やろうねって言ってたけどさ
なんだかんだでないじゃないですか
確かにね
その大事なライブの前ぐらいのポポポと入るぐらいでさ
なんでかねやっぱ忙しくなった
忘れてたね
忘れてたね
毎週やろうっていう話忘れてたね
カブやろうねえまあでもさあ毎週一回って食べて合わせるの厳しいのか?
まあライブの後とかだよね多分ね
そうなんだよねえ
ここのスタジオ24時間じゃなくなっちゃったしね
あそっか
そうなんですよー
まあもうね週に一回入ろうや
まあ入りましょう入りましょう
まあラジアンライブの前はちょっともうちょっと入りましょう
もうちょっと入れればいい
そうしよね
うん
へい
というわけでせっかくスタジオに入っているので
はい
早くない?それ
だってまださあ3分ぐらいしか話しなくて
違うんだよスタジオでもあとさあ
あそっか
20分しかないからさペッペッペッペッペッ
7分ぐらいのラジオでもいいし
でもねまだ3分もしゃべてなかったら今2分っすね
そう?でも分かんない曲が7分あるかもしんないじゃん
そっかまあ余ったらまたしゃべられる
それでは青原ちゃんで聴いてください
一人で歌うからね
はい
見中
タイオに今日もハイタッチしたよ
輝きもっと
ちょくちょく触れたいこの胸っぽ
育てた雪にちょっとキュッとなっているの
オイル アイル でも そちらの 本当溢れ出す リリリリ 呼んないの? 気づいた
愛に行っていくか 愛してほしいんです 気分だった時 太陽気 スペーション
愛に行っていくか 変わりたい ララララララララ 未熟の 人のハートを 連れて会いたい
オイ マニバード全然覚えてない
タイミング 今日も 狙ってみたい
あの子と ちょっと 気まぬくなっても この胸 ずっと
溶けた優しさ ちょっと待っているの?
オイル マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
タイミング マニバード全然覚えてく
